"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_Saddle_Phiomia_C"",EngramLevelRequirement=5,EngramPointsCost=6,EngramHidden=False,RemoveEngramPreReq=True)",5,x,PrimalItemArmor_PhiomiaSaddle_C,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_Slingshot_C"",EngramLevelRequirement=5,EngramPointsCost=6,EngramHidden=False,RemoveEngramPreReq=True)",5,x,PrimalItem_WeaponSlingshot_C,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_StoneClub_C"",EngramLevelRequirement=8,EngramPointsCost=4,EngramHidden=False,RemoveEngramPreReq=True)",8,x,PrimalItem_WeaponStoneClub_C,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_Saddle_Para_C"",EngramLevelRequirement=9,EngramPointsCost=9,EngramHidden=False,RemoveEngramPreReq=True)",9,x,PrimalItemArmor_ParaSaddle_C,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_Bow_C"",EngramLevelRequirement=10,EngramPointsCost=11,EngramHidden=False,RemoveEngramPreReq=True)",10,x,PrimalItem_WeaponBow_C,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_Saddle_Turtle_C"",EngramLevelRequirement=10,EngramPointsCost=12,EngramHidden=False,RemoveEngramPreReq=True)",10,x,PrimalItemArmor_TurtleSaddle_C,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_WoodShield_C"",EngramLevelRequirement=12,EngramPointsCost=7,EngramHidden=False,RemoveEngramPreReq=True)",12,x,PrimalItemArmor_WoodShield_C,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_Saddle_Dolphin_C"",EngramLevelRequirement=13,EngramPointsCost=8,EngramHidden=False,RemoveEngramPreReq=True)",13,x,PrimalItemArmor_DolphinSaddle_C,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_Saddle_Pachy_C"",EngramLevelRequirement=14,EngramPointsCost=9,EngramHidden=False,RemoveEngramPreReq=True)",14,x,PrimalItemArmor_PachySaddle_C,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_HideBoots_C"",EngramLevelRequirement=15,EngramPointsCost=7,EngramHidden=False,RemoveEngramPreReq=True)",15,x,PrimalItemArmor_HideBoots_C,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_HideGloves_C"",EngramLevelRequirement=15,EngramPointsCost=7,EngramHidden=False,RemoveEngramPreReq=True)",15,x,PrimalItemArmor_HideGloves_C,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_HideHelmet_C"",EngramLevelRequirement=15,EngramPointsCost=9,EngramHidden=False,RemoveEngramPreReq=True)",15,x,PrimalItemArmor_HideHelmet_C,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_HidePants_C"",EngramLevelRequirement=15,EngramPointsCost=9,EngramHidden=False,RemoveEngramPreReq=True)",15,x,PrimalItemArmor_HidePants_C,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_HideShirt_C"",EngramLevelRequirement=15,EngramPointsCost=6,EngramHidden=False,RemoveEngramPreReq=True)",15,x,PrimalItemArmor_HideShirt_C,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_Saddle_Trike_C"",EngramLevelRequirement=16,EngramPointsCost=12,EngramHidden=False,RemoveEngramPreReq=True)",16,x,PrimalItemArmor_TrikeSaddle_C,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_FishingRod_C"",EngramLevelRequirement=18,EngramPointsCost=15,EngramHidden=False,RemoveEngramPreReq=True)",18,x,PrimalItem_WeaponFishingRod_C,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_Saddle_Raptor_C"",EngramLevelRequirement=18,EngramPointsCost=9,EngramHidden=False,RemoveEngramPreReq=True)",18,x,PrimalItemArmor_RaptorSaddle_C,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_Saddle_Hyaenodon_C"",EngramLevelRequirement=19,EngramPointsCost=14,EngramHidden=False,RemoveEngramPreReq=True)",19,x,PrimalItemArmor_HyaenodonSaddle_C,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_Saddle_Equus_C"",EngramLevelRequirement=20,EngramPointsCost=22,EngramHidden=False,RemoveEngramPreReq=True)",20,x,PrimalItemArmor_EquusSaddle_C,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_MetalHatchet_C"",EngramLevelRequirement=20,EngramPointsCost=6,EngramHidden=False,RemoveEngramPreReq=True)",20,x,PrimalItem_WeaponMetalHatchet_C,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_MetalPick_C"",EngramLevelRequirement=20,EngramPointsCost=6,EngramHidden=False,RemoveEngramPreReq=True)",20,x,PrimalItem_WeaponMetalPick_C,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_Maelizard_Saddle_C"",EngramLevelRequirement=21,EngramPointsCost=24,EngramHidden=False,RemoveEngramPreReq=True)",21,,PrimalItemArmor_MaelizardSaddle_C,,,,
